task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
7d,S1,64,40,41,B,0,n13,296223,0.1933543310276379,0.3972478243175525,0.8089756869620232,0.7976486324792609,0.793944480944157,0.8404625095911455,0.0,-0.3093041589858928,0.0113270544827622,0.8043158261021476,0.5373719591184503,0.0390004950897723,0.2300570564672751,1.1898210670770593,10052380.0,296223,12.0,8183873.0,,,,,,,
7d,S1,64,40,41,B_nofresh,0,n13,296223,0.1933543310276379,0.4020783374933594,0.8188127898372642,0.8087637770915336,0.8041399918376164,0.8488623097614401,0.0,-0.2922457240265733,0.0100490127457306,0.7962583626621366,0.5304293553057053,0.0359736588921699,0.2277805585242408,1.1780473564446925,8183873.0,296223,9.7,8183873.0,,,,,,,
7d,S1,64,40,41,C,0,n13,296223,0.1933543310276379,0.3837981556982085,0.7815860972784613,0.7809257501803856,0.7816102393003327,1.0469166006605737,6.751670194414343e-05,0.0744412592083877,0.0006603470980757,0.811659177153554,0.550050060234302,0.0119138389692528,0.1846893352399198,0.9551859234718691,10052380.0,296223,5.6,,0.1858769804239273,,,,,,
7d,S1,64,40,41,D,0,n13,296223,0.1933543310276379,0.3857288132719298,0.7855177866204303,0.7855011421978911,0.7859237870218241,1.0072670523661602,0.0006110261525944,0.0117085556709534,1.6644422539124903e-05,0.8098464742936768,0.5502560339824555,0.015178066473599,0.1919593523618502,0.9927853766793132,,296223,4.4,,,10048963.0,9767244.0,0.00047599276877,,,8183873.0
7d,S1,64,40,41,E,0,n13,296223,0.1933543310276379,0.3942109001239079,0.8027911399729343,0.8005929412539112,0.8036402713971487,1.0881782171596777,0.0003375835097207,0.1363989709214222,0.002198198719023,0.7967701581216489,0.534566568098217,0.0196716250806923,0.1776862723206537,0.918967117913978,8183873.0,296223,4.6,,,,,,0.7194499528215001,4.521093368530273,
1d,S2,160,40,41,oracle,0,n13,296223,0.1436924209126232,0.3120490721892017,0.7581181286197842,0.7579791245966009,0.7579040521334057,0.977823368418639,0.0,-0.0352111918978892,0.0001390040231833,0.8289822374577267,0.5165628201422472,0.0064744809979375,0.1469513058836038,1.0226795884590338,10052380.0,296223,5.5,,,,,,,,
1d,S2,160,40,41,A,0,n13,296223,0.1436924209126232,0.3131024527533097,0.7606772995103863,0.7606327220985889,0.7605631110701719,0.987351345411718,0.0,-0.0199659868650891,4.457741179741959e-05,0.8274527471606232,0.514170138954412,0.0071190884794059,0.1455332203479245,1.0128106926141958,9767244.0,296223,5.3,,,,,,,,
1d,S2,160,40,41,B_teacher,0,n13,296223,0.1436924209126232,0.2976902286243439,0.7232335524979426,0.7206334329797582,0.7214975353154726,0.9105327078155218,0.0,-0.1532973653279404,0.0026001195181843,0.8510923706670988,0.5488135114796131,0.0141189566241143,0.1578113775367375,1.0982581860229064,9767244.0,296223,0.0,,,,,,,,
1d,S2,160,40,41,B,0,n13,296223,0.1436924209126232,0.3115710070238508,0.7569566771020102,0.7550510901575525,0.7554360629317012,0.9210912189840248,0.0,-0.1287539994076762,0.0019055869444577,0.8314314791153801,0.5170089461166546,0.0123099575175151,0.1560023784301383,1.085668801731725,10052380.0,296223,11.8,9767244.0,,,,,,,
1d,S2,160,40,41,B_nofresh,0,n13,296223,0.1436924209126232,0.312280430875603,0.7586802107729019,0.7569885640912632,0.7572741756514073,0.9253726408139318,0.0,-0.1213505279379818,0.0016916466816386,0.8303365055842511,0.5152547541562491,0.0121238099092599,0.1552806021866342,1.0806457376137986,9767244.0,296223,11.5,9767244.0,,,,,,,
